State Code,State,Population,Male,Female
1,Jammu And Kashmir,13464000,7056000,6408000
2,Himachal Pradesh,7415000,3760000,3655000
3,Punjab,30453000,15999000,14454000
4,Chandigarh,1215000,657000,558000
5,Uttarakhand,11468000,5876000,5592000
6,Haryana,29694000,15728000,13966000
7,Delhi,20801000,11080000,9721000
8,Rajasthan,79790000,41009000,38781000
9,Uttar Pradesh,232301000,121042000,111259000
10,Bihar,124154000,64552000,59602000
11,Sikkim,680000,359000,321000
12,Arunachal Pradesh,1540000,792000,748000
13,Nagaland,2202000,1137000,1065000
14,Manipur,3179000,1596000,1583000
15,Mizoram,1221000,616000,605000
16,Tripura,4090000,2080000,2010000
17,Meghalaya,3304000,1656000,1648000
18,Assam,35238000,17938000,17300000
19,West Bengal,98404000,50222000,48182000
20,Jharkhand,38762000,19845000,18917000
21,Odisha,45865000,23083000,22782000
22,Chhattisgarh,29693000,14894000,14799000
23,Madhya Pradesh,85118000,43907000,41211000
24,Gujarat,70289000,36872000,33417000
27,Maharashtra,125005000,65004000,60001000
28,Andhra Pradesh,52894000,26453000,26441000
29,Karnataka,67092000,34037000,33055000
30,Goa,1563000,788000,775000
31,Lakshadweep,68000,35000,33000
32,Kerala,35573000,17084000,18489000
33,Tamil Nadu,76536000,38222000,38314000
34,Puducherry,1593000,762000,831000
35,Andaman And Nicobar Islands,401000,212000,189000
36,Telangana,37816000,19022000,18794000
37,Ladakh,298000,167000,131000
38,The Dadra And Nagar Haveli And Daman And Diu,1132000,734000,398000
